City,Latitude,Longitude,Country,Temperate (°C),Humidity (%),Cloudiness (%),windspeed (m/s)
Conde,-7.26,-34.91,BR,20.49,92,39,4.62
Tolga,34.72,5.38,DZ,29.0,42,0,3.1
São Filipe,14.9,-24.5,CV,23.52,80,63,2.46
Seda,57.65,25.75,LV,21.11,62,0,0.89
Necochea,-38.55,-58.74,AR,6.95,75,84,3.27
Ozinki,51.18,49.68,RU,26.96,33,41,4.77
Miyako,39.64,141.95,JP,20.64,84,100,2.96
Wajir,1.75,40.06,KE,28.0,45,75,6.7
Lompoc,34.64,-120.46,US,13.11,87,0,0.67
Souillac,-20.52,57.52,MU,24.0,73,75,6.2
Rustenburg,-25.67,27.24,ZA,14.8,25,0,1.61
George Town,5.41,100.34,MY,31.25,74,40,2.6
Tete,-16.16,33.59,MZ,19.0,63,75,3.6
La Asuncion,11.03,-63.86,VE,27.0,94,2,5.1
Saint Paul Harbor,57.79,-152.41,US,14.0,87,90,3.1
Bunia,1.57,30.25,CD,21.71,69,96,3.38
Santa Cruz de La Palma,28.68,-17.76,ES,21.05,83,20,3.1
Tam Ky,15.57,108.48,VN,33.0,59,20,3.6
Luanda,-8.84,13.23,AO,23.0,83,75,1.0
Markova,48.68,24.41,UA,18.0,77,40,1.0
Arraial do Cabo,-22.97,-42.03,BR,20.04,76,0,8.45
Qaqortoq,60.72,-46.03,GL,11.0,32,20,2.6
Port Elizabeth,-33.92,25.57,ZA,13.0,66,0,1.5
Uíge,-7.61,15.06,AO,25.11,21,0,2.61
East London,-33.02,27.91,ZA,17.0,26,0,2.1
Shunyi,40.12,116.65,CN,29.6,62,100,4.0
Sarkand,45.41,79.92,KZ,36.17,13,0,3.79
Salalah,17.02,54.09,OM,30.0,79,75,5.7
Kilmallock,52.4,-8.58,IE,17.22,84,53,4.47
Mehamn,71.04,27.85,NO,15.0,72,51,0.5
Jumla,29.27,82.18,NP,23.89,93,68,2.65
Grootfontein,-19.57,18.12,NA,10.59,45,0,8.09
Mossamedes,-15.2,12.15,AO,26.58,25,2,6.83
San Cristobal,7.77,-72.22,VE,17.53,90,95,1.43
Naze,28.37,129.48,JP,27.51,88,75,8.7
Sunrise Manor,36.21,-115.07,US,34.35,14,1,3.6
Mahon,39.89,4.27,ES,24.0,53,20,7.7
Lata,40.16,-8.33,PT,27.54,34,0,0.89
Camaná,-16.62,-72.71,PE,15.05,79,3,2.3
Kuusamo,65.97,29.18,FI,19.0,48,0,2.6
Inhambane,-23.86,35.38,MZ,18.0,82,40,4.1
Porto-Novo,6.5,2.6,BJ,24.0,94,20,3.1
Yanam,16.73,82.22,IN,29.0,83,75,3.1
Port Macquarie,-31.43,152.92,AU,13.15,93,90,3.6
Inírida,3.87,-67.92,CO,21.58,97,37,0.74
Paso de Ovejas,19.28,-96.43,MX,24.44,70,23,2.68
Khatanga,71.97,102.5,RU,6.7,85,100,6.97
Dingle,11.0,122.67,PH,31.28,64,42,2.45
Cidreira,-30.18,-50.21,BR,12.72,94,100,1.2
Tuktoyaktuk,69.45,-133.04,CA,5.11,77,0,5.89
Kruisfontein,-34.0,24.73,ZA,16.24,31,0,4.17
Vryburg,-26.96,24.73,ZA,12.01,30,0,1.61
Namtsy,62.72,129.67,RU,32.0,29,4,3.0
Xinqing,48.23,129.5,CN,32.1,36,54,4.38
Kavieng,-2.57,150.8,PG,28.74,71,3,2.85
Hobart,-42.88,147.33,AU,6.8,81,20,1.9
Carballo,43.21,-8.69,ES,16.62,72,79,0.5
Mahon,39.89,4.27,ES,24.0,53,20,7.7
Forsytheganj,52.63,29.73,BY,21.94,59,0,1.01
Gorgan,36.84,54.43,IR,32.0,55,20,2.1
Hereford,52.06,-2.71,GB,18.73,84,8,2.01
Krasnosel'kup,65.7,82.47,RU,17.0,51,77,7.06
Upata,8.01,-62.4,VE,21.46,96,97,2.2
Hudson Bay,52.85,-102.38,CA,12.28,93,0,1.14
Turan,16.07,108.22,VN,33.0,59,20,3.6
Kudahuvadhoo,2.67,72.89,MV,29.03,69,71,1.73
Alice Springs,-23.7,133.88,AU,22.16,18,1,4.1
Pemba,-12.97,40.52,MZ,25.0,65,40,7.7
Narsaq,60.92,-46.05,GL,11.0,32,20,2.6
Mayor Pablo Lagerenza,-19.93,-60.77,PY,24.26,58,97,1.54
General Roca,-39.03,-67.58,AR,8.0,75,75,5.7
Rongcheng,30.63,117.85,CN,31.67,98,61,1.64
Saint-Leu,-21.15,55.28,RE,21.17,83,92,9.3
Hasaki,35.73,140.83,JP,19.61,100,75,4.1
Ilulissat,69.22,-51.1,GL,8.0,70,100,0.5
Davila,18.47,120.58,PH,31.0,79,75,2.6
Ostrovnoy,68.05,39.51,RU,15.5,48,0,3.29
Kochi,9.94,76.26,IN,28.0,83,90,4.1
Itarema,-2.92,-39.92,BR,24.27,76,2,6.48
Riviere-au-Renard,49.0,-64.4,CA,14.0,50,20,3.1
Hutang,31.53,119.48,CN,26.35,100,90,3.0
Esperance,-33.87,121.9,AU,13.0,76,75,9.3
Mahébourg,-20.41,57.7,MU,24.0,73,75,6.2
Saint George,37.1,-113.58,US,28.21,18,1,3.1
Andenes,69.31,16.12,NO,16.0,77,75,5.1
Margate,51.38,1.39,GB,20.92,77,85,1.3
Port Hedland,-20.32,118.57,AU,27.0,22,0,5.7
Klaksvík,62.23,-6.59,FO,10.0,87,23,8.7
Mpongwe,-13.51,28.16,ZM,13.64,51,100,5.79
Umm Hājar,13.3,19.7,TD,26.88,65,96,2.49
Honningsvåg,70.98,25.97,NO,12.0,87,99,0.5
Neustadt an der Waldnaab,49.71,12.09,DE,15.47,100,75,1.19
Nabire,-3.37,135.48,ID,28.07,74,96,1.31
Kieta,-6.22,155.63,PG,27.17,79,97,3.44
College,64.86,-147.8,US,15.38,67,75,2.1
Lakatoro,-16.1,167.42,VU,24.39,81,96,3.74
Santa Cruz de la Sierra,-17.8,-63.17,BO,22.0,94,40,1.5
Vao,-22.67,167.48,NC,20.84,67,0,8.23
Del Rio,29.36,-100.9,US,31.14,59,1,6.2
Mahajanga,-15.72,46.32,MG,28.0,37,20,5.7
Hithadhoo,-0.6,73.08,MV,29.19,72,100,4.65
Longyearbyen,78.22,15.64,SJ,8.0,81,75,1.0
Thompson,55.74,-97.86,CA,12.0,93,20,2.6
Sobolevo,54.43,31.9,RU,18.81,71,22,2.75
Lodja,-3.48,23.43,CD,27.92,32,87,2.74
Isangel,-19.55,169.27,VU,22.73,81,98,3.57
Sochi,43.6,39.73,RU,26.0,69,90,2.0
Erenhot,43.65,111.98,CN,26.38,31,100,7.38
Māngrol,21.12,70.12,IN,30.53,74,44,4.36
Provideniya,64.38,-173.3,RU,13.03,74,42,1.98
Mahibadhoo,3.78,72.97,MV,28.91,70,99,2.29
Severo-Kuril'sk,50.68,156.12,RU,11.54,89,59,0.52
Bengkulu,-3.8,102.27,ID,27.67,82,98,4.02
Kayseri Province,38.74,35.5,TR,26.0,47,20,1.0
Izvestkovyy,48.98,131.55,RU,27.73,61,63,2.63
Shenjiamen,29.96,122.3,CN,24.3,93,100,4.94
Natchez,31.56,-91.4,US,23.0,94,90,1.51
Wyndham,37.7,-77.61,US,23.83,83,1,3.6
Barra do Bugres,-15.07,-57.18,BR,17.85,40,0,1.31
Yining,29.04,114.56,CN,34.8,49,100,3.59
Kabompo,-13.59,24.2,ZM,15.91,43,0,6.3
Yangi Marg`ilon,40.43,71.72,UZ,32.0,24,100,3.1
Sharan,54.82,54.0,RU,25.6,70,98,2.25
Yima,34.74,111.88,CN,24.44,99,72,4.62
Portage,41.17,-81.2,US,21.32,94,75,1.51
Brønnøysund,65.46,12.2,NO,15.78,87,75,1.5
Saint-Joseph,-21.37,55.62,RE,19.38,83,95,9.3
Aitape,-3.14,142.35,PG,28.02,74,82,0.93
Katsuura,35.13,140.3,JP,21.04,94,75,2.1
Guerrero Negro,27.98,-114.06,MX,18.69,90,0,3.77
Prado,-17.34,-39.22,BR,20.53,85,76,3.42
Benton Harbor,42.12,-86.45,US,16.61,93,1,2.78
Oranjemund,-28.55,16.43,NA,18.39,28,0,9.45
Kamenka,51.32,42.77,RU,25.55,39,68,0.89
Zharkent,44.16,80.0,KZ,38.32,11,11,1.87
Leningradskiy,69.38,178.42,RU,6.22,81,33,6.05
Lensk,60.73,114.93,RU,21.29,39,100,3.19
Bathurst,-33.42,149.58,AU,8.16,78,74,1.64
Beloha,-25.17,45.05,MG,20.54,52,35,5.1
Yar-Sale,66.83,70.83,RU,17.61,49,99,2.98
Port Hardy,50.7,-127.42,CA,12.32,84,93,2.73
Tadine,-21.55,167.88,NC,20.06,67,8,1.78
Vanimo,-2.67,141.3,PG,28.4,71,72,1.84
Oktyabr'skoye,43.06,44.74,RU,25.0,65,40,3.0
Altamira,-3.2,-52.21,BR,20.63,97,90,0.65
Itaboraí,-22.74,-42.86,BR,15.0,93,20,2.6
Sokoni,-6.43,39.55,TZ,23.98,58,0,10.93
Sorong,-0.88,131.25,ID,28.65,70,6,2.15
Tombouctou,20.0,-3.0,ML,34.95,28,0,4.04
Constitución,-35.33,-72.42,CL,12.15,88,100,6.64
Kjøllefjord,70.95,27.35,NO,15.0,72,76,0.5
Chokurdakh,70.63,147.92,RU,11.73,54,99,2.4
Saldanha,-33.01,17.94,ZA,7.0,81,0,9.66
Veriora,58.01,27.36,EE,21.3,60,0,1.5
Teluk Anson,4.03,101.02,MY,31.88,70,20,2.6
Marsh Harbour,26.54,-77.06,BS,27.9,77,60,6.73
Rakiv Lis,51.62,24.92,UA,21.02,70,100,0.54
Nefteyugansk,61.1,72.6,RU,22.0,60,8,3.0
Lismore,-28.81,153.28,AU,16.09,67,40,1.5
Andilamena,-17.02,48.58,MG,18.36,57,42,6.53
Husavik,66.04,-17.34,IS,7.0,87,90,18.0
Hukuntsi,-24.0,21.75,BW,11.0,41,0,5.68
Walvis Bay,-22.96,14.51,NA,22.05,23,0,8.34
Ghanzi,-21.57,21.78,BW,12.11,42,0,7.43
Saint Anthony,45.02,-93.22,US,22.15,78,20,0.68
Harper,4.38,-7.72,LR,24.25,77,83,2.36
Hammerfest,70.66,23.68,NO,15.0,72,100,2.6
San Patricio,19.22,-104.7,MX,26.14,88,66,1.73
Nichinan,31.6,131.37,JP,25.0,78,20,2.1
Noyabrsk,63.2,75.45,RU,18.39,47,44,1.5
Makat,47.65,53.35,KZ,36.96,27,0,6.33
Aygedzor,38.98,46.21,AM,32.0,21,0,3.1
Grindavik,63.84,-22.43,IS,7.0,75,75,13.9
Idanre,7.11,5.12,NG,21.97,94,100,0.86
Moyale,3.52,39.06,KE,20.91,53,92,7.63
Jalu,29.03,21.55,LY,31.46,29,0,2.53
Natá,8.33,-80.52,PA,25.0,60,98,0.89
Nome,64.5,-165.41,US,13.95,87,90,3.1
Bariloche,-41.15,-71.31,AR,1.0,86,75,3.6
Nador,35.17,-2.93,MA,24.09,83,90,3.6
Havre-St-Pierre,50.23,-63.6,CA,13.0,76,90,1.5
Manche,49.0,-1.17,FR,15.0,100,90,3.1
Ponta Delgada,37.73,-25.67,PT,19.0,88,75,4.1
Bilibino,68.05,166.44,RU,14.9,65,77,2.2
Zhigansk,66.77,123.37,RU,16.77,57,100,2.08
Vostok,46.49,135.88,RU,26.2,59,0,3.07
Alta Floresta,-9.88,-56.09,BR,22.12,54,68,0.87
Agua Dulce,18.13,-94.13,MX,25.69,89,100,2.55
Noumea,-22.28,166.46,NC,19.0,63,0,1.5
Ust-Maya,60.42,134.53,RU,29.17,39,0,2.44
Dawlatabad,36.41,64.91,AF,39.47,8,0,5.67
Bambanglipuro,-7.95,110.28,ID,27.89,71,0,6.03
Betanzos,43.28,-8.21,ES,16.99,72,91,0.5
Dingli,35.86,14.38,MT,27.0,65,0,2.1
Tautira,-17.73,-149.15,PF,25.0,88,75,3.1
Kavaratti,10.57,72.64,IN,27.0,88,90,3.1
Padang,-0.95,100.35,ID,27.23,77,50,2.96
Diamantino,-14.41,-56.45,BR,19.15,43,0,1.86
Buluang,13.31,123.34,PH,30.27,72,98,1.25
Port Hawkesbury,45.62,-61.35,CA,10.22,100,90,2.1
Bonthe,7.53,-12.51,SL,24.84,80,100,2.4
Senno,59.53,33.92,RU,12.09,95,100,2.55
Waipawa,-41.41,175.52,NZ,9.79,77,100,4.02
Maamba,-17.37,27.15,ZM,15.56,46,50,3.15
Kirkland Lake,48.14,-80.04,CA,17.0,100,20,1.0
Gunupur,19.08,83.82,IN,31.89,65,63,2.13
Qaanaaq,77.48,-69.36,GL,6.36,63,50,4.02
Wenling,28.37,121.36,CN,29.19,60,80,2.57
Faya,18.39,42.45,SA,28.0,14,40,7.7
Asău,46.43,26.4,RO,20.0,79,97,1.64
Cherskiy,68.75,161.3,RU,12.36,54,0,7.44
Sitka,57.05,-135.33,US,13.0,87,90,1.5
Sisimiut,66.94,-53.67,GL,9.69,73,6,1.63
Poum,-20.23,164.02,NC,21.27,59,0,5.66
Mikkeli,61.69,27.27,FI,21.67,50,0,1.34
Dryden,49.78,-92.75,CA,16.0,72,1,3.1
Cockburn Town,21.46,-71.14,TC,28.03,79,4,7.64
Alugan,12.22,125.48,PH,30.28,66,94,3.74
Bonavista,48.65,-53.11,CA,9.44,78,93,3.13
Nemuro,43.32,145.57,JP,24.0,60,20,2.6
Iqaluit,63.75,-68.51,CA,6.83,87,75,3.1
Huanren,41.26,125.37,CN,29.6,50,3,2.46
Argelia,2.26,-77.25,CO,16.9,72,66,0.7
Sajanan,37.06,9.24,TN,24.47,69,40,5.1
Mollendo,-17.02,-72.01,PE,14.62,81,26,2.14
Cícero Dantas,-10.6,-38.38,BR,15.29,99,21,1.34
Berbera,10.44,45.01,SO,35.64,33,96,13.95
Ahipara,-35.17,173.17,NZ,14.84,90,100,3.55
Natal,-5.79,-35.21,BR,21.52,94,75,2.6
Nyrob,60.73,56.72,RU,28.52,54,77,1.29
Coyhaique,-45.58,-72.07,CL,0.0,87,90,1.13
Pilāni,28.37,75.6,IN,38.42,36,72,3.05
Hong Kong,22.29,114.16,HK,31.95,64,36,5.36
Lavumisa,-27.31,31.89,SZ,18.98,26,0,0.63
Potosí,-19.58,-65.75,BO,0.85,83,0,0.67
Fairbanks,64.84,-147.72,US,15.29,67,20,3.1
Santa Marta,11.24,-74.2,CO,23.89,88,15,4.64
Teknāf,20.86,92.31,BD,29.98,75,100,4.14
Waverley,-25.7,28.26,ZA,11.71,25,0,2.1
Lorengau,-2.02,147.27,PG,28.69,71,96,2.37
Leshan,29.56,103.76,CN,33.98,49,87,1.02
Ankazoabo,-22.28,44.52,MG,21.51,32,1,5.03
Puerto del Rosario,28.5,-13.86,ES,23.0,78,20,1.0
Gladstone,-23.85,151.25,AU,17.0,48,0,3.1
Banda Aceh,5.56,95.32,ID,29.78,71,100,2.99
Date,42.47,140.87,JP,20.04,77,0,2.31
Mahenge,-8.68,36.72,TZ,18.61,49,27,4.26
Pattan,34.17,74.57,IN,30.26,32,80,2.91
Barkly West,-28.54,24.52,ZA,12.0,22,0,0.5
Thiadiaye,14.42,-16.71,SN,25.0,83,20,4.1
Srednekolymsk,67.45,153.68,RU,7.85,90,100,3.18
Payakumbuh,-0.22,100.63,ID,27.92,74,36,0.69
Talnakh,69.49,88.4,RU,12.0,71,75,8.0
Ralivka,49.5,23.24,UA,14.06,82,75,2.0
Birao,10.28,22.79,CF,24.62,82,96,2.22
Luchegorsk,46.48,134.26,RU,26.86,79,0,3.72
Bay-Khaak,51.17,94.5,RU,23.07,36,100,2.89
Sovetskiy,61.36,63.58,RU,34.68,32,0,4.16
Nhulunbuy,-12.23,136.77,AU,27.0,57,28,5.7
Kaitangata,-46.28,169.85,NZ,5.56,80,88,0.89
Brewster,41.4,-73.62,US,17.56,77,90,1.5
Kumul,42.8,93.45,CN,34.51,14,10,3.07
Yulara,-25.24,130.99,AU,22.0,15,0,3.1
Cuenca,-2.88,-78.98,EC,8.0,93,44,0.37
Yerbogachën,61.28,108.01,RU,13.98,82,93,4.62
Quatre Cocos,-20.21,57.76,MU,24.53,73,75,6.2
Carutapera,-1.2,-46.02,BR,23.45,94,24,1.94
Ayagoz,47.97,80.44,KZ,34.8,18,25,4.84
Quelimane,-17.88,36.89,MZ,20.0,88,75,2.6
Gérgeri,35.13,24.95,GR,27.36,61,20,7.2
Clarence Town,-32.58,151.78,AU,13.1,100,90,6.2
Sorsk,54.0,90.25,RU,22.94,57,32,4.01
Srandakan,-7.94,110.25,ID,27.87,71,0,6.06
Pacific Grove,36.62,-121.92,US,14.2,87,90,0.45
Coquimbo,-29.95,-71.34,CL,10.0,93,48,2.1
Labuhan,-6.88,112.21,ID,29.44,68,5,4.76
Potsdam,52.4,13.07,DE,17.85,77,20,3.6
Torbay,47.67,-52.73,CA,9.48,100,90,9.8
Luanda,-8.84,13.23,AO,23.0,83,75,1.0
Tanout,14.97,8.89,NE,29.68,52,81,6.47
Monrovia,6.3,-10.8,LR,24.0,88,75,1.66
Pokhara,28.23,83.98,NP,29.43,63,82,1.8
Taoudenni,22.68,-3.98,ML,37.97,21,12,1.96
Sambava,-14.27,50.17,MG,22.31,84,98,8.36
Fulton,33.77,-84.45,US,23.69,88,1,1.75
Marsá Maţrūḩ,31.35,27.25,EG,26.0,69,40,5.7
Sinop Province,41.77,34.87,TR,24.0,73,75,4.1
Akdepe,42.06,59.38,TM,37.5,21,13,6.2
Gatton,-27.55,152.28,AU,17.39,45,35,3.6
Puerto Madero,14.72,-92.42,MX,26.28,75,32,2.3
Dengzhou,37.81,120.75,CN,27.78,57,100,5.11
Carrascal,9.37,125.95,PH,28.75,76,46,2.82
Fort Nelson,58.81,-122.7,CA,11.92,99,100,1.13
Imbituba,-28.24,-48.67,BR,16.0,87,75,6.7
São Pedro do Sul,-29.62,-54.18,BR,9.57,97,100,2.51
Huesca,42.14,-0.41,ES,19.12,72,0,2.6
Temyasovo,52.99,58.1,RU,33.0,24,20,4.0
Aktau,43.65,51.2,KZ,37.0,19,0,6.0
Kodinsk,58.69,99.18,RU,17.46,52,90,6.3
Portland,45.52,-122.68,US,17.23,76,43,2.16
Manono,-7.3,27.42,CD,23.82,36,46,6.08
Naryan-Mar,67.67,53.09,RU,15.97,58,84,5.57
Grand Gaube,-20.01,57.66,MU,25.0,63,9,3.58
Sinnai,39.3,9.2,IT,23.04,64,0,5.1
Kenai,60.55,-151.26,US,13.18,87,20,5.1
Abu Samrah,35.3,37.18,SY,32.77,21,0,5.02
Preston,53.77,-2.72,GB,16.25,87,75,6.2
Luba,3.46,8.55,GQ,24.0,100,90,1.5
Tigil',57.8,158.67,RU,13.71,79,100,4.3
Petropavl,54.88,69.16,KZ,32.0,33,87,4.0
Garden City,42.33,-83.33,US,20.01,88,75,1.5
Gobabis,-22.45,18.97,NA,8.0,39,0,3.1
Gwadar,25.12,62.33,PK,33.62,59,4,5.38
Norden,53.6,7.2,DE,17.46,63,75,1.5
Teahupoo,-17.83,-149.27,PF,25.0,88,75,3.1
Lethem,3.38,-59.8,GY,22.97,89,22,1.75
Ucluelet,48.93,-125.55,CA,13.33,88,64,0.45
Hamilton,39.18,-84.53,US,20.33,94,1,0.59
Christchurch,-43.53,172.63,NZ,7.0,87,99,6.2
Ust'-Omchug,61.15,149.63,RU,16.02,71,100,4.11
Hudiksvall,61.73,17.1,SE,21.42,48,33,4.55
Sørland,67.67,12.69,NO,13.0,93,75,9.3
Kashgar,39.45,75.98,CN,27.0,32,40,1.0
Kez,57.9,53.72,RU,24.17,69,94,2.02
Shache,38.42,77.24,CN,33.61,20,100,4.89
Evensk,61.95,159.23,RU,9.98,95,100,4.18
Palauig,15.44,119.9,PH,30.15,72,100,2.6
Mount Isa,-20.73,139.5,AU,26.0,12,99,2.1
Adrar,20.5,-10.07,MR,31.37,21,12,5.22
Tura,25.52,90.22,IN,28.68,83,84,2.37
Riyadh,24.69,46.72,SA,41.0,15,0,1.5
Meulaboh,4.14,96.13,ID,28.92,78,53,3.64
Tual,-5.67,132.75,ID,26.35,83,1,6.33
