City,Latitude,Longitude,Country,Temperate (°C),Min Temp(°C),Max Temp(°C),Humidity,Cloudiness,windspeed
Saldanha,-33.01,17.94,ZA,10.0,10.0,10.0,71,71,3.6
Nanortalik,60.14,-45.24,GL,6.29,6.29,6.29,92,100,2.96
Develi,38.39,35.49,TR,21.0,21.0,21.0,56,0,4.6
Avarua,-21.21,-159.78,CK,20.0,20.0,20.0,60,100,2.1
Port Elizabeth,-33.92,25.57,ZA,9.0,9.0,9.0,76,20,10.8
Yangambi,0.81,24.43,CD,22.58,22.58,22.58,89,99,1.19
Saskylakh,71.92,114.08,RU,23.72,23.72,23.72,34,45,3.92
Chokurdakh,70.63,147.92,RU,18.74,18.74,18.74,32,47,8.01
Padang,-0.95,100.35,ID,29.45,29.45,29.45,62,100,1.72
Tuatapere,-46.13,167.68,NZ,7.41,7.41,7.41,82,86,2.18
Tuktoyaktuk,69.45,-133.04,CA,15.0,15.0,15.0,62,20,4.1
Kapaa,22.08,-159.32,US,22.38,21.67,24.0,88,90,10.8
Wapi Pathum,15.85,103.38,TH,32.0,32.0,32.0,66,40,2.6
Dargaville,-35.93,173.88,NZ,12.52,12.52,12.52,89,92,2.15
Arraial do Cabo,-22.97,-42.03,BR,22.49,22.49,22.49,71,7,2.76
Hong Kong,22.29,114.16,HK,34.54,33.33,36.11,61,13,4.92
Klaksvík,62.23,-6.59,FO,9.0,9.0,9.0,100,98,3.1
Shingū,33.73,135.98,JP,23.0,23.0,23.0,100,75,4.1
Upernavik,72.79,-56.15,GL,4.44,4.44,4.44,89,100,9.74
Gobārdānga,22.87,88.76,IN,33.0,33.0,33.0,89,75,3.1
Lagan,45.39,47.37,RU,29.5,29.5,29.5,52,73,7.81
Pozhva,59.09,56.08,RU,23.63,23.63,23.63,64,4,3.32
Belmonte,-15.86,-38.88,BR,20.0,20.0,20.0,94,94,1.0
Nome,64.5,-165.41,US,11.49,10.56,13.33,76,1,7.2
East London,-33.02,27.91,ZA,14.0,14.0,14.0,45,0,8.2
Havre-St-Pierre,50.23,-63.6,CA,12.0,12.0,12.0,71,90,4.1
Ixtapa,20.7,-105.2,MX,28.0,28.0,28.0,83,75,1.5
Bredasdorp,-34.53,20.04,ZA,8.0,8.0,8.0,93,99,7.2
Isla Vista,34.41,-119.86,US,16.84,16.67,17.78,82,1,3.1
Tura,25.52,90.22,IN,29.08,29.08,29.08,80,90,3.38
Barrow,71.29,-156.79,US,2.0,2.0,2.0,80,90,5.1
Deputatsky,69.3,139.9,RU,10.9,10.9,10.9,98,100,2.96
Pevek,69.7,170.31,RU,6.94,6.94,6.94,71,6,1.74
Zhigansk,66.77,123.37,RU,22.65,22.65,22.65,43,9,2.86
Cape Town,-33.93,18.42,ZA,9.55,8.89,10.0,66,75,3.6
Safi,32.3,-9.24,MA,21.11,21.11,21.11,90,16,5.49
Ambon City,-3.7,128.18,ID,25.65,25.0,26.11,94,75,2.1
Mounana,-1.41,13.16,GA,21.0,21.0,21.0,100,75,1.5
Bethel,41.37,-73.41,US,20.76,19.44,22.0,68,75,1.5
Anadyr,64.75,177.48,RU,10.0,10.0,10.0,93,75,5.0
Karpathos,35.51,27.21,GR,25.0,25.0,25.0,69,20,15.9
Airai,-8.93,125.41,TL,21.23,21.23,21.23,61,14,2.47
Akropong,5.97,-0.09,GH,24.0,24.0,24.0,94,75,6.2
Jamestown,42.1,-79.24,US,15.61,14.44,16.11,82,1,2.1
Honiara,-9.43,159.95,SB,27.0,27.0,27.0,83,75,3.1
Geraldton,-28.77,114.6,AU,19.0,19.0,19.0,55,90,6.2
Vaini,-21.2,-175.2,TO,22.0,22.0,22.0,78,40,4.6
Thompson,55.74,-97.86,CA,15.0,15.0,15.0,100,75,1.0
Zhengjiatun,43.51,123.51,CN,32.44,32.44,32.44,36,92,3.7
Mar del Plata,-38.0,-57.56,AR,4.11,3.89,4.44,69,40,4.6
Oyem,1.6,11.58,GA,20.04,20.04,20.04,98,95,0.93
Hongjiang,27.11,110.0,CN,35.32,35.32,35.32,49,88,3.69
Chisec,15.82,-90.28,GT,21.98,21.98,21.98,88,59,0.84
Gdańsk,54.35,18.65,PL,14.29,13.89,15.0,82,0,2.6
Hasaki,35.73,140.83,JP,24.95,23.89,26.11,94,75,1.5
Houma,29.6,-90.72,US,24.53,24.0,25.0,100,1,2.73
Srednekolymsk,67.45,153.68,RU,21.73,21.73,21.73,33,89,5.01
Butaritari,3.07,172.79,KI,27.21,27.21,27.21,78,97,6.01
Conde,-7.26,-34.91,BR,21.28,21.28,21.28,87,23,2.16
Cayenne,4.93,-52.33,GF,24.0,24.0,24.0,100,1,2.71
Nikolskoye,59.7,30.79,RU,16.58,16.11,17.0,63,40,4.0
Sebezh,56.3,28.47,RU,15.64,15.64,15.64,62,0,2.81
Hegang,47.4,130.37,CN,29.71,29.71,29.71,56,6,1.76
Constitución,-35.33,-72.42,CL,10.68,10.68,10.68,77,54,2.73
Yerbogachën,61.28,108.01,RU,26.26,26.26,26.26,43,78,2.01
Bela Cruz,-3.05,-40.17,BR,21.46,21.46,21.46,87,42,3.26
Whitianga,-36.83,175.7,NZ,13.89,13.89,13.89,96,95,1.51
Souillac,-20.52,57.52,MU,25.0,25.0,25.0,69,40,9.3
Hirado,33.36,129.55,JP,23.94,23.89,24.0,78,75,3.1
Kroya,-7.63,109.25,ID,29.38,29.38,29.38,68,37,5.63
Distrikt Brokopondo,4.75,-55.17,SR,23.8,23.8,23.8,88,1,1.26
Mpongwe,-13.51,28.16,ZM,14.91,14.91,14.91,63,0,1.61
Tonj,7.27,28.68,SS,24.07,24.07,24.07,86,56,1.01
Saint-Philippe,-21.36,55.77,RE,22.74,18.89,25.0,57,61,2.1
Praia da Vitória,38.73,-27.07,PT,19.0,19.0,19.0,88,20,3.23
Brainerd,46.36,-94.2,US,21.34,20.0,23.0,88,1,2.43
Lorengau,-2.02,147.27,PG,29.01,29.01,29.01,70,48,2.68
Menomonie,44.88,-91.92,US,22.61,22.0,23.33,68,40,4.1
Labytnangi,66.66,66.42,RU,14.78,14.78,14.78,54,77,7.25
Henties Bay,-22.12,14.28,NA,11.11,11.11,11.11,94,0,3.39
Saint Paul Harbor,57.79,-152.41,US,14.0,14.0,14.0,71,90,2.1
Codrington,-38.27,141.97,AU,12.32,12.32,12.32,76,15,3.99
Khatanga,71.97,102.5,RU,23.36,23.36,23.36,38,89,2.94
Cherskiy,68.75,161.3,RU,16.96,16.96,16.96,42,92,5.88
Sechura,-5.56,-80.82,PE,17.74,17.74,17.74,83,65,5.11
Hobart,-42.88,147.33,AU,9.74,9.0,10.0,76,75,1.5
Plettenberg Bay,-34.05,23.37,ZA,9.96,9.96,9.96,78,97,8.68
Khandyga,62.67,135.6,RU,28.56,28.56,28.56,43,10,2.91
Wajima,37.4,136.9,JP,21.0,21.0,21.0,100,75,3.6
Kefamenanu,-9.45,124.48,ID,25.84,25.84,25.84,58,18,5.49
Xalapa,19.53,-96.92,MX,15.89,15.89,15.89,79,12,1.98
Peresichna,50.02,35.98,UA,17.0,17.0,17.0,93,75,5.0
Vanimo,-2.67,141.3,PG,28.03,28.03,28.03,78,52,2.89
Marzuq,14.4,46.47,YE,29.28,29.28,29.28,45,56,1.92
Banff,51.18,-115.57,CA,8.33,8.33,8.33,57,19,1.79
Stavern,59.0,10.03,NO,13.51,13.0,13.89,100,75,3.6
Bathsheba,13.22,-59.52,BB,27.0,27.0,27.0,83,40,5.7
Dubuque,42.48,-90.87,US,20.85,20.0,22.22,88,1,5.7
Shumskiy,54.83,99.13,RU,27.96,27.96,27.96,48,93,1.2
Marsá Maţrūḩ,31.35,27.25,EG,24.0,24.0,24.0,83,0,4.6
Nemuro,43.32,145.57,JP,16.0,16.0,16.0,82,75,4.1
Carnarvon,-24.87,113.63,AU,24.0,24.0,24.0,57,40,5.7
Coyhaique,-45.58,-72.07,CL,-1.0,-1.0,-1.0,92,82,1.0
Castro,-24.79,-50.01,BR,15.55,15.55,15.55,95,32,1.76
Riyadh,24.69,46.72,SA,39.0,39.0,39.0,13,25,4.1
Celestún,20.87,-90.4,MX,27.38,27.38,27.38,75,1,6.2
Waynesville,35.49,-82.99,US,17.23,16.67,17.78,69,2,0.63
Sørland,67.67,12.69,NO,12.0,12.0,12.0,81,24,29.8
Vila Velha,-20.33,-40.29,BR,18.0,18.0,18.0,93,0,1.0
Karlstad,59.38,13.5,SE,13.79,13.0,14.44,87,100,2.6
Guerrero Negro,27.98,-114.06,MX,21.03,21.03,21.03,77,0,6.4
Masindi,1.67,31.71,UG,20.86,20.86,20.86,85,61,0.26
Saint-Leu,-21.15,55.28,RE,23.4,21.11,25.0,57,2,2.1
Burla,21.5,83.87,IN,30.0,30.0,30.0,74,75,2.1
Ancud,-41.87,-73.82,CL,2.27,1.0,3.89,100,100,1.0
Bossier City,32.52,-93.73,US,28.48,26.67,30.0,74,1,3.82
Örnsköldsvik,63.29,18.72,SE,14.0,14.0,14.0,76,2,1.5
Ribeira Grande,38.52,-28.7,PT,20.43,20.43,20.43,76,25,2.47
Puerto Escondido,15.85,-97.07,MX,26.03,26.03,26.03,80,1,2.21
Cidreira,-30.18,-50.21,BR,8.89,8.89,8.89,67,1,6.38
Hofn,64.25,-15.21,IS,10.56,10.56,10.56,79,100,2.32
Panguna,-6.32,155.48,PG,23.78,23.78,23.78,90,91,0.15
La Ronge,55.1,-105.28,CA,13.0,13.0,13.0,82,40,3.6
Mahébourg,-20.41,57.7,MU,25.0,25.0,25.0,69,40,9.3
Shelbyville,35.48,-86.46,US,19.47,18.89,20.0,100,1,1.82
Harper,4.38,-7.72,LR,24.01,24.01,24.01,84,100,5.14
Sarankhola,22.31,89.79,BD,29.19,29.19,29.19,83,99,5.03
Leningradskiy,69.38,178.42,RU,3.97,3.97,3.97,84,99,4.5
Panjāb,34.39,67.02,AF,22.15,22.15,22.15,22,0,2.4
Mpanda,-6.37,31.04,TZ,20.73,20.73,20.73,44,16,2.17
Buala,-8.14,159.59,SB,28.69,28.69,28.69,69,73,2.17
Marawi,8.0,124.29,PH,28.89,28.89,28.89,79,95,2.68
Dingle,11.0,122.67,PH,32.08,32.08,32.08,60,34,1.47
Charter Township of Clinton,42.59,-82.92,US,16.91,15.56,18.89,100,1,2.1
Haimen,23.19,116.61,CN,38.0,38.0,38.0,47,20,1.0
Kudahuvadhoo,2.67,72.89,MV,29.18,29.18,29.18,65,34,1.41
Kahului,20.89,-156.47,US,23.5,21.11,27.0,61,1,6.7
Bobrovka,54.05,61.75,RU,27.86,27.86,27.86,53,76,3.32
Husavik,66.04,-17.34,IS,10.0,10.0,10.0,93,90,1.0
Shubarkuduk,49.14,56.49,KZ,33.72,33.72,33.72,20,23,6.4
Matagami,49.75,-77.63,CA,11.0,11.0,11.0,87,1,1.34
Horqueta,-23.34,-57.06,PY,16.63,16.63,16.63,87,95,2.89
Hambantota,6.12,81.12,LK,32.0,32.0,32.0,66,40,6.2
Lagoa,39.05,-27.98,PT,19.98,19.98,19.98,78,13,2.53
Bend,44.06,-121.32,US,15.81,13.89,18.0,49,1,3.6
São Félix do Xingu,-6.64,-51.99,BR,19.96,19.96,19.96,60,49,0.28
Sarkand,45.41,79.92,KZ,25.17,25.17,25.17,34,0,3.73
Arawa,-6.21,155.54,PG,28.14,28.14,28.14,72,93,0.74
Kaitangata,-46.28,169.85,NZ,7.78,7.78,7.78,72,85,1.34
Saint George,37.1,-113.58,US,33.0,33.0,33.0,16,1,2.6
Saint-Joseph,-21.37,55.62,RE,22.96,19.44,25.0,57,40,2.1
Aklavik,68.22,-135.01,CA,16.0,16.0,16.0,59,75,2.1
Teahupoo,-17.83,-149.27,PF,23.94,23.89,24.0,94,75,3.1
Makokou,0.57,12.86,GA,20.79,20.79,20.79,96,69,1.28
Zeya,53.75,127.27,RU,36.38,36.38,36.38,23,51,1.93
Bengkulu,-3.8,102.27,ID,30.17,30.17,30.17,64,99,3.33
Isangel,-19.55,169.27,VU,26.0,26.0,26.0,69,75,2.6
Aburi,5.85,-0.18,GH,24.0,24.0,24.0,94,75,6.2
Mombetsu,44.35,143.35,JP,17.0,17.0,17.0,82,75,3.6
Ilulissat,69.22,-51.1,GL,6.0,6.0,6.0,87,100,4.1
Atuona,-9.8,-139.03,PF,26.38,26.38,26.38,79,39,7.58
Temecula,33.49,-117.15,US,18.29,16.67,20.56,68,1,0.88
Campo Grande,-20.44,-54.65,BR,18.0,18.0,18.0,88,5,1.5
Ust-Tsilma,65.44,52.15,RU,15.87,15.87,15.87,59,98,2.02
Mishkino,55.34,63.92,RU,27.89,27.89,27.89,56,21,2.43
kimparana,12.83,-4.92,ML,23.56,23.56,23.56,86,100,4.29
Rafaela,-31.25,-61.49,AR,3.54,2.22,4.44,51,0,0.17
Margherita,27.28,95.68,IN,30.0,30.0,30.0,79,75,1.5
Carutapera,-1.2,-46.02,BR,23.54,23.54,23.54,93,39,2.0
Talitsa,56.88,60.02,RU,32.0,32.0,32.0,35,1,4.0
Sabzawār,36.21,57.68,IR,33.96,33.96,33.96,14,2,4.41
George Town,5.41,100.34,MY,30.63,30.0,31.0,74,20,3.1
Evensk,61.95,159.23,RU,14.08,14.08,14.08,81,52,3.28
Sola,-13.88,167.55,VU,27.0,27.0,27.0,83,75,2.1
Fortuna,40.6,-124.16,US,10.6,10.0,11.67,93,1,0.27
Mangai,-4.05,19.53,CD,23.06,23.06,23.06,84,71,0.37
Verkhnevilyuysk,63.45,120.32,RU,26.3,26.3,26.3,45,29,1.19
Qaqortoq,60.72,-46.03,GL,8.0,8.0,8.0,81,100,1.5
Taltal,-25.4,-70.48,CL,11.79,11.79,11.79,72,23,0.7
Tiznit Province,29.58,-9.5,MA,21.6,21.6,21.6,61,0,0.72
Te Anau,-45.42,167.72,NZ,3.89,3.89,3.89,87,19,0.3
Sinnamary,5.38,-52.95,GF,24.96,24.96,24.96,86,25,2.62
Longyearbyen,78.22,15.64,SJ,7.0,7.0,7.0,87,75,3.1
Dongsheng,39.82,109.98,CN,27.2,27.2,27.2,32,35,1.56
Chifeng,42.27,118.96,CN,29.28,29.28,29.28,34,100,3.5
Voznesen'ye,61.01,35.48,RU,16.96,16.96,16.96,61,35,3.36
Katangli,51.71,143.23,RU,14.53,14.53,14.53,80,67,4.26
Mtama,-10.3,39.37,TZ,23.86,23.86,23.86,66,57,1.96
Karaton,-6.34,106.1,ID,33.0,33.0,33.0,63,40,6.2
Lamu,-2.27,40.9,KE,26.48,26.48,26.48,74,7,7.37
Makakilo City,21.35,-158.09,US,25.93,24.0,27.0,65,1,2.6
Chui,-33.7,-53.46,UY,2.46,2.46,2.46,79,0,4.84
Bubaque,11.28,-15.83,GW,27.12,27.12,27.12,80,100,7.81
Moosburg,48.47,11.93,DE,12.85,12.78,13.0,87,94,0.5
Pangnirtung,66.15,-65.71,CA,10.61,10.61,10.61,56,92,1.84
Tommot,58.96,126.29,RU,25.66,25.66,25.66,71,77,1.72
Broome,42.25,-75.83,US,15.14,14.44,16.11,87,1,2.1
Pacific Grove,36.62,-121.92,US,13.8,13.33,15.0,82,90,3.1
Korla,41.76,86.15,CN,30.66,30.66,30.66,17,70,2.09
Sergeevka,53.88,67.42,KZ,27.3,27.3,27.3,56,0,0.66
San Quintín,30.48,-115.95,MX,20.76,20.76,20.76,80,25,5.11
Saint-François,46.42,3.91,FR,11.0,11.0,11.0,81,51,0.5
Natal,-5.79,-35.21,BR,20.0,20.0,20.0,94,4,2.1
Dikson,73.51,80.55,RU,3.83,3.83,3.83,97,100,6.97
Hurghada,27.26,33.81,EG,32.0,32.0,32.0,46,0,3.1
Vardø,70.37,31.11,NO,8.0,8.0,8.0,75,75,5.7
Pisco,-13.7,-76.22,PE,15.24,15.0,15.56,93,90,0.46
Comodoro Rivadavia,-45.87,-67.5,AR,2.0,2.0,2.0,80,0,6.7
Gombe,10.29,11.17,NG,22.79,22.79,22.79,86,61,4.04
Baoding,38.85,115.49,CN,31.91,31.91,31.91,46,49,2.66
Port Moresby,-9.44,147.18,PG,30.0,30.0,30.0,74,40,9.3
Nandu,22.85,110.82,CN,31.11,31.11,31.11,41,9,2.53
Estelle,29.85,-90.11,US,26.68,25.0,28.0,94,1,2.64
Pasni,25.26,63.47,PK,29.39,29.39,29.39,73,24,4.52
Hithadhoo,-0.6,73.08,MV,29.51,29.51,29.51,67,94,2.48
Phibun Mangsahan,15.24,105.23,TH,33.94,33.89,34.0,59,75,1.5
Cabo San Lucas,22.89,-109.91,MX,29.08,28.33,30.0,52,23,1.34
Yakima,46.47,-120.67,US,19.94,19.44,21.0,37,1,5.1
Kyshtovka,56.55,76.63,RU,23.39,23.39,23.39,60,9,5.18
Don Luan,11.53,106.92,VN,31.77,31.77,31.77,64,74,2.11
Yar-Sale,66.83,70.83,RU,14.77,14.77,14.77,49,66,9.6
Tiarei,-17.53,-149.33,PF,23.94,23.89,24.0,94,75,3.1
Torbay,47.67,-52.73,CA,17.59,16.67,18.33,93,75,5.1
Llallagua,-18.42,-66.63,BO,1.05,1.05,1.05,63,0,0.85
Suruç,36.98,38.42,TR,29.0,29.0,29.0,30,0,7.2
San Cristobal,7.77,-72.22,VE,18.11,18.11,18.11,87,85,1.95
Kavaratti,10.57,72.64,IN,28.0,28.0,28.0,88,90,6.2
La Asuncion,11.03,-63.86,VE,27.0,27.0,27.0,94,100,5.1
Muriwai Beach,-36.82,174.45,NZ,13.71,13.33,13.89,96,100,1.41
Bang Saphan,11.21,99.51,TH,32.0,32.0,32.0,66,40,3.6
Najrān,17.49,44.13,SA,33.0,33.0,33.0,26,42,5.85
Kloulklubed,7.04,134.26,PW,29.0,29.0,29.0,74,75,4.6
Manuk Mangkaw,4.8,119.85,PH,28.78,28.78,28.78,71,97,3.08
Sisimiut,66.94,-53.67,GL,5.73,5.73,5.73,86,76,3.61
Fenoarivo,-18.93,47.44,MG,13.0,13.0,13.0,100,40,0.5
Boende,-0.22,20.87,CD,22.72,22.72,22.72,86,100,0.47
Saint-Augustin,51.23,-58.65,CA,10.63,10.63,10.63,88,100,6.44
Rayong,12.83,101.43,TH,31.0,31.0,31.0,62,40,5.7
Inhambane,-23.86,35.38,MZ,16.83,16.67,17.0,72,0,5.59
North Platte,41.12,-100.77,US,18.75,18.33,19.0,88,1,3.1
Laramie,41.31,-105.59,US,15.4,13.89,17.22,44,1,4.1
Bilma,18.69,12.92,NE,32.14,32.14,32.14,31,51,3.89
Aktash,50.3,87.73,RU,6.68,6.68,6.68,97,100,1.85
Malvern,34.36,-92.81,US,23.94,22.78,26.0,78,1,2.6
Tasiilaq,65.61,-37.64,GL,5.0,5.0,5.0,86,38,4.1
Taunggyi,20.78,97.03,MM,23.33,23.33,23.33,87,94,2.45
Pacifica,37.61,-122.49,US,12.9,11.67,14.44,76,40,4.1
Lompoc,34.64,-120.46,US,13.18,12.22,14.0,87,90,2.6
Adrar,20.5,-10.07,MR,31.47,31.47,31.47,30,0,4.78
Harlingen,26.19,-97.7,US,27.51,27.0,28.33,83,75,5.1
College,64.86,-147.8,US,15.71,13.89,18.0,63,75,1.5
Teguise,29.06,-13.56,ES,21.0,21.0,21.0,83,20,5.1
Arman',59.7,150.17,RU,18.35,18.35,18.35,61,92,3.45
Norman Wells,65.28,-126.83,CA,18.0,18.0,18.0,68,75,2.1
Pathein,16.78,94.73,MM,30.82,30.82,30.82,67,94,3.61
Isla Mujeres,21.23,-86.73,MX,26.95,25.56,28.33,83,5,2.1
Antofagasta,-23.65,-70.4,CL,11.0,11.0,11.0,87,0,1.5
Abu Dhabi,24.47,54.37,AE,39.09,37.0,40.0,28,33,4.1
Ordynskoye,54.37,81.9,RU,23.67,23.67,23.67,60,77,3.39
Zhangye,38.93,100.45,CN,32.43,32.43,32.43,20,10,2.87
Dudinka,69.41,86.18,RU,13.0,13.0,13.0,76,75,6.0
Half Moon Bay,37.46,-122.43,US,13.18,11.67,15.0,87,90,3.6
Camaná,-16.62,-72.71,PE,15.68,15.68,15.68,73,1,3.23
Andenes,69.31,16.12,NO,13.0,13.0,13.0,87,40,1.5
Ha Tinh,18.33,105.9,VN,35.68,35.68,35.68,46,4,4.02
Esim,4.87,-2.24,GH,23.61,23.61,23.61,86,62,4.6
Zemen,42.48,22.75,BG,17.89,17.78,18.0,55,20,5.7
Pitimbu,-7.47,-34.81,BR,23.54,23.54,23.54,80,14,3.22
Aksarka,66.56,67.8,RU,15.64,15.64,15.64,51,33,8.39
Jishou,28.32,109.72,CN,31.65,31.65,31.65,67,98,1.16
Severo-Kuril'sk,50.68,156.12,RU,10.5,10.5,10.5,88,96,2.85
Prince Albert,53.2,-105.77,CA,11.91,11.91,11.91,92,100,4.76
Sitka,57.05,-135.33,US,12.0,12.0,12.0,93,90,2.6
Gornyy,55.12,83.91,RU,21.77,21.77,21.77,71,20,3.45
Myaundzha,63.05,147.19,RU,22.4,22.4,22.4,56,100,1.96
Khovd,48.01,91.64,MN,17.27,17.27,17.27,51,100,4.28
Coquimbo,-29.95,-71.34,CL,8.0,8.0,8.0,100,3,2.1
Laguna,38.42,-121.42,US,19.03,18.0,20.0,68,1,3.6
Lavrentiya,65.58,-171.0,RU,9.58,9.58,9.58,63,41,3.85
Harbour Breton,47.48,-55.8,CA,14.85,14.85,14.85,97,89,1.17
Aksu,41.12,80.26,CN,27.67,27.67,27.67,31,98,2.11
Kamogawa,35.1,140.1,JP,25.28,25.0,25.56,94,75,6.7
Cap Malheureux,-19.98,57.61,MU,24.44,24.44,24.44,69,0,3.13
Mazamari,-11.33,-74.53,PE,19.57,19.57,19.57,75,19,0.94
Khorramabad,33.49,48.36,IR,32.0,32.0,32.0,17,0,2.1
Kourou,5.16,-52.65,GF,24.0,24.0,24.0,100,5,2.02
Ayagoz,47.97,80.44,KZ,21.92,21.92,21.92,51,19,8.7
Ubari,26.59,12.78,LY,24.4,24.4,24.4,36,0,4.55
Karasuk,53.74,78.04,RU,26.76,26.76,26.76,57,3,4.44
Mercedes,-34.65,-59.43,AR,0.21,-1.11,1.67,62,0,0.89
Acapulco de Juárez,16.86,-99.89,MX,26.65,26.65,26.65,76,3,1.46
Katubao,5.89,124.83,PH,33.0,33.0,33.0,46,40,3.1
Banagher,53.19,-7.99,IE,11.11,11.11,11.11,91,100,2.24
Narsaq,60.92,-46.05,GL,8.0,8.0,8.0,81,100,1.5
Yulara,-25.24,130.99,AU,20.0,20.0,20.0,14,0,5.1
Tarsus,36.92,34.88,TR,29.48,29.0,30.0,79,40,2.1
Jieshi,22.81,115.83,CN,31.72,31.72,31.72,68,5,6.34
Bonthe,7.53,-12.51,SL,24.24,24.24,24.24,91,100,5.28
Piet Retief,-27.01,30.81,ZA,8.44,8.44,8.44,46,0,3.67
Oranjestad,12.52,-70.03,AW,28.0,28.0,28.0,83,20,7.7
Tāybād,34.74,60.78,IR,35.41,35.41,35.41,13,0,5.6
Yeniseysk,58.45,92.17,RU,27.02,27.02,27.02,44,30,2.73
Yong’an,39.7,113.69,CN,27.56,27.56,27.56,39,1,3.71
Atasū,48.68,71.64,KZ,26.98,26.98,26.98,31,0,7.35
Santa Isabel,-23.32,-46.22,BR,16.5,16.0,17.0,77,0,1.5
Caimito,8.81,-75.41,CO,23.75,23.75,23.75,95,63,2.52
Bouna,9.27,-3.0,CI,21.51,21.51,21.51,94,98,4.36
Keminmaa,65.86,24.82,FI,13.0,13.0,13.0,93,20,2.1
Hoquiam,46.98,-123.89,US,13.2,13.0,13.33,87,1,1.5
Chernukha,55.6,43.76,RU,25.47,25.47,25.47,74,58,3.67
Linhares,-19.39,-40.07,BR,19.19,19.19,19.19,96,30,1.74
Palencia,42.42,-4.5,ES,15.27,15.0,15.56,54,87,2.24
Chesma,53.81,60.65,RU,27.19,27.19,27.19,56,75,3.81
Newport,51.59,-3.0,GB,15.36,14.44,16.67,98,81,1.61
Omboué,-1.57,9.26,GA,22.05,22.05,22.05,87,96,3.56
Encrucijada,22.62,-79.87,CU,24.95,24.95,24.95,83,100,1.77
Pascagoula,30.37,-88.56,US,23.76,23.33,24.0,94,1,3.12
Kruisfontein,-34.0,24.73,ZA,8.88,8.88,8.88,77,94,10.48
Luanda,-8.84,13.23,AO,20.0,20.0,20.0,100,75,0.5
Umm Kaddadah,13.6,26.69,SD,28.56,28.56,28.56,55,0,5.86
